"","Lat","Lon","Time Range","Vessel IDs","Apparent Fishing Hours"
"344",50.4,-4.2,"2023-11",1,0.14
"345",50.1,-4.2,"2023-07",22,208.3
"346",50.3,-4.1,"2023-02",4,60.37
"347",50.3,-4.5,"2023-04",5,55.65
"348",50.3,-4,"2023-01",4,26.83
"349",50.3,-3.9,"2023-08",2,54.52
"350",50.2,-4.1,"2023-10",20,123.45
"351",50.2,-3.9,"2023-01",5,28.43
"352",50.2,-4,"2023-08",24,191.63
"353",50,-4.1,"2023-11",13,31.17
"354",50.4,-4.4,"2023-01",1,45.95
"355",50.1,-4.5,"2023-05",6,23.77
"356",50.1,-3.9,"2023-09",4,16.59
"357",50.4,-4.3,"2023-02",1,0.13
